shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M1000102,40.846641,-73.938322,180001
M1000102,40.846192,-73.938439,180002
M1000102,40.845422,-73.938669,180003
M1000102,40.844732,-73.938829,180004
M1000102,40.844672,-73.938839,180005
M1000102,40.843932,-73.939019,180006
M1000102,40.843634,-73.939090,180007
M1000102,40.843634,-73.939090,190001
M1000102,40.843392,-73.939149,190002
M1000102,40.843212,-73.939179,190003
M1000102,40.842402,-73.939239,190004
M1000102,40.841882,-73.939279,190005
M1000102,40.841772,-73.939339,190006
M1000102,40.841692,-73.939399,190007
M1000102,40.841572,-73.939489,190008
M1000102,40.841175,-73.939761,190009
M1000102,40.841175,-73.939761,200001
M1000102,40.841092,-73.939819,200002
M1000102,40.840512,-73.940249,200003
M1000102,40.839902,-73.940699,200004
M1000102,40.839822,-73.940519,200005
M1000102,40.839562,-73.939879,200006
M1000102,40.839442,-73.939899,200007
M1000102,40.839262,-73.939909,200008
M1000102,40.838852,-73.939889,200009
M1000102,40.838502,-73.939869,200010
M1000102,40.837712,-73.939989,200011
M1000102,40.837533,-73.940024,200012
M1000102,40.837533,-73.940024,210001
M1000102,40.836952,-73.940139,210002
M1000102,40.836052,-73.939949,210003
M1000102,40.835782,-73.939899,210004
M1000102,40.835501,-73.940095,210005
M1000102,40.835501,-73.940095,220001
M1000102,40.835352,-73.940199,220002
M1000102,40.834722,-73.940659,220003
M1000102,40.834092,-73.941119,220004
M1000102,40.833482,-73.941579,220005
M1000102,40.833318,-73.941698,220006
M1000102,40.833318,-73.941698,230001
M1000102,40.832862,-73.942029,230002
M1000102,40.832242,-73.942509,230003
M1000102,40.832112,-73.942609,230004
M1000102,40.831908,-73.942756,230005
M1000102,40.831908,-73.942756,240001
M1000102,40.831572,-73.942999,240002
M1000102,40.830892,-73.943469,240003
M1000102,40.830262,-73.943929,240004
M1000102,40.830232,-73.943949,240005
M1000102,40.829723,-73.944319,240006
M1000102,40.829723,-73.944319,250001
M1000102,40.829642,-73.944379,250002
M1000102,40.829022,-73.944839,250003
M1000102,40.828392,-73.945289,250004
M1000102,40.827772,-73.945749,250005
M1000102,40.827142,-73.946199,250006
M1000102,40.826884,-73.946390,250007
M1000102,40.826884,-73.946390,260001
M1000102,40.826522,-73.946659,260002
M1000102,40.826452,-73.946709,260003
M1000102,40.826302,-73.946819,260004
M1000102,40.825962,-73.947079,260005
M1000102,40.825902,-73.947119,260006
M1000102,40.825232,-73.947599,260007
M1000102,40.824923,-73.947826,260008
M1000102,40.824923,-73.947826,270001
M1000102,40.824552,-73.948099,270002
M1000102,40.824412,-73.948209,270003
M1000102,40.823942,-73.948569,270004
M1000102,40.823607,-73.948813,270005
M1000102,40.823607,-73.948813,280001
M1000102,40.823312,-73.949029,280002
M1000102,40.822692,-73.949459,280003
M1000102,40.822062,-73.949909,280004
M1000102,40.821442,-73.950359,280005
M1000102,40.820812,-73.950819,280006
M1000102,40.820742,-73.950869,280007
M1000102,40.820463,-73.951075,280008
M1000102,40.820463,-73.951075,290001
M1000102,40.819562,-73.951739,290002
M1000102,40.818912,-73.952209,290003
M1000102,40.818578,-73.952460,290004
M1000102,40.818578,-73.952460,300001
M1000102,40.818222,-73.952729,300002
M1000102,40.818192,-73.952749,300003
M1000102,40.817652,-73.953139,300004
M1000102,40.817582,-73.953189,300005
M1000102,40.816862,-73.953719,300006
M1000102,40.816402,-73.954059,300007
M1000102,40.816352,-73.954089,300008
M1000102,40.816152,-73.954239,300009
M1000102,40.815983,-73.954363,300010
M1000102,40.815983,-73.954363,310001
M1000102,40.815732,-73.954549,310002
M1000102,40.815702,-73.954569,310003
M1000102,40.815102,-73.954999,310004
M1000102,40.814835,-73.955195,310005
M1000102,40.814835,-73.955195,320001
M1000102,40.814532,-73.955419,320002
M1000102,40.814472,-73.955459,320003
M1000102,40.814132,-73.955689,320004
M1000102,40.813342,-73.956249,320005
M1000102,40.812626,-73.955643,320006
M1000102,40.812626,-73.955643,330001
M1000102,40.812492,-73.955529,330002
M1000102,40.812222,-73.955299,330003
M1000102,40.811972,-73.955079,330004
M1000102,40.811842,-73.954929,330005
M1000102,40.811522,-73.954749,330006
M1000102,40.811102,-73.954379,330007
M1000102,40.811012,-73.954279,330008
M1000102,40.810342,-73.953669,330009
M1000102,40.810082,-73.953089,330010
M1000102,40.810232,-73.952976,330011
M1000104,40.810842,-73.952767,10001
M1000104,40.811372,-73.954009,10002
M1000104,40.811602,-73.954549,10003
M1000104,40.811722,-73.954769,10004
M1000104,40.811842,-73.954929,10005
M1000104,40.811972,-73.955079,10006
M1000104,40.812222,-73.955299,10007
M1000104,40.812492,-73.955529,10008
M1000104,40.813342,-73.956249,10009
M1000104,40.814132,-73.955689,10010
M1000104,40.814472,-73.955459,10011
M1000104,40.814532,-73.955419,10012
M1000104,40.815102,-73.954999,10013
M1000104,40.815702,-73.954569,10014
M1000104,40.815732,-73.954549,10015
M1000104,40.816152,-73.954239,10016
M1000104,40.816352,-73.954089,10017
M1000104,40.816402,-73.954059,10018
M1000104,40.816714,-73.953828,10019
M1000104,40.816714,-73.953828,20001
M1000104,40.816862,-73.953719,20002
M1000104,40.817582,-73.953189,20003
M1000104,40.817652,-73.953139,20004
M1000104,40.818192,-73.952749,20005
M1000104,40.818222,-73.952729,20006
M1000104,40.818912,-73.952209,20007
M1000104,40.819340,-73.951899,20008
M1000104,40.819340,-73.951899,30001
M1000104,40.819562,-73.951739,30002
M1000104,40.820742,-73.950869,30003
M1000104,40.820812,-73.950819,30004
M1000104,40.821065,-73.950634,30005
M1000104,40.821065,-73.950634,40001
M1000104,40.821442,-73.950359,40002
M1000104,40.822062,-73.949909,40003
M1000104,40.822692,-73.949459,40004
M1000104,40.823312,-73.949029,40005
M1000104,40.823942,-73.948569,40006
M1000104,40.824267,-73.948319,40007
M1000104,40.824267,-73.948319,50001
M1000104,40.824412,-73.948209,50002
M1000104,40.824552,-73.948099,50003
M1000104,40.825232,-73.947599,50004
M1000104,40.825657,-73.947294,50005
M1000104,40.825657,-73.947294,60001
M1000104,40.825902,-73.947119,60002
M1000104,40.825962,-73.947079,60003
M1000104,40.826302,-73.946819,60004
M1000104,40.826452,-73.946709,60005
M1000104,40.826522,-73.946659,60006
M1000104,40.827142,-73.946199,60007
M1000104,40.827772,-73.945749,60008
M1000104,40.828132,-73.945482,60009
M1000104,40.828132,-73.945482,70001
M1000104,40.828392,-73.945289,70002
M1000104,40.829022,-73.944839,70003
M1000104,40.829642,-73.944379,70004
M1000104,40.829930,-73.944168,70005
M1000104,40.829930,-73.944168,80001
M1000104,40.830232,-73.943949,80002
M1000104,40.830262,-73.943929,80003
M1000104,40.830892,-73.943469,80004
M1000104,40.831572,-73.942999,80005
M1000104,40.831712,-73.942897,80006
M1000104,40.831712,-73.942897,90001
M1000104,40.832112,-73.942609,90002
M1000104,40.832242,-73.942509,90003
M1000104,40.832862,-73.942029,90004
M1000104,40.833482,-73.941579,90005
M1000104,40.833666,-73.941439,90006
M1000104,40.833666,-73.941439,100001
M1000104,40.834092,-73.941119,100002
M1000104,40.834722,-73.940659,100003
M1000104,40.835266,-73.940262,100004
M1000104,40.835266,-73.940262,110001
M1000104,40.835352,-73.940199,110002
M1000104,40.835782,-73.939899,110003
M1000104,40.836512,-73.939359,110004
M1000104,40.836602,-73.939299,110005
M1000104,40.836952,-73.940139,110006
M1000104,40.837032,-73.940123,110007
M1000104,40.837032,-73.940123,120001
M1000104,40.837712,-73.939989,120002
M1000104,40.838502,-73.939869,120003
M1000104,40.838852,-73.939889,120004
M1000104,40.839262,-73.939909,120005
M1000104,40.839442,-73.939899,120006
M1000104,40.839562,-73.939879,120007
M1000104,40.839772,-73.939829,120008
M1000104,40.840262,-73.939689,120009
M1000104,40.840890,-73.939509,120010
M1000104,40.840890,-73.939509,130001
M1000104,40.840962,-73.939489,130002
M1000104,40.841292,-73.939389,130003
M1000104,40.841432,-73.939359,130004
M1000104,40.841562,-73.939349,130005
M1000104,40.841652,-73.939299,130006
M1000104,40.841762,-73.939279,130007
M1000104,40.841882,-73.939279,130008
M1000104,40.842402,-73.939239,130009
M1000104,40.843212,-73.939179,130010
M1000104,40.843392,-73.939149,130011
M1000104,40.843525,-73.939117,130012
M1000104,40.843525,-73.939117,140001
M1000104,40.843932,-73.939019,140002
M1000104,40.844672,-73.938839,140003
M1000104,40.844732,-73.938829,140004
M1000104,40.845422,-73.938669,140005
M1000104,40.846192,-73.938439,140006
M1000104,40.846498,-73.938359,140007
M1000104,40.846498,-73.938359,150001
M1000104,40.846922,-73.938249,150002
M1000104,40.847542,-73.938039,150003
M1000104,40.847712,-73.937979,150004
M1000104,40.848252,-73.937749,150005
M1000104,40.848362,-73.937689,150006
